Employee_Wage_Id,PREVAILING_WAGE,PW_UNIT_OF_PAY,PW_WAGE_LEVEL,WAGE_RATE_OF_PAY_FROM,WAGE_RATE_OF_PAY_TO,WAGE_UNIT_OF_PAY,Employee_Id
46116,130894.0,Year,II,130894.0,0.0,Year,54649
46117,207750.0,Year,III,210000.0,0.0,Year,54650
46118,111176.0,Year,III,111176.0,147000.0,Year,54651
46119,123614.0,Year,III,159000.0,0.0,Year,54652
46120,206482.0,Year,IV,300000.0,0.0,Year,54653
46121,82888.0,Year,II,82888.0,127080.0,Year,54654
46122,81453.0,Year,II,109720.0,0.0,Year,54655
46123,89128.0,Year,II,89128.0,0.0,Year,54656
46124,112576.0,Year,No Record,144000.0,0.0,Year,54657
46125,188219.0,Year,IV,315000.0,335000.0,Year,54658
46126,220688.0,Year,IV,220688.0,263000.0,Year,54659
46127,90792.0,Year,IV,118893.0,0.0,Year,54660
46128,104438.0,Year,No Record,104438.0,0.0,Year,54661
46129,86632.0,Year,II,86700.0,0.0,Year,54662
46130,78562.0,Year,II,125000.0,0.0,Year,54663
46131,127088.0,Year,III,135000.0,155000.0,Year,54664
46132,68432.0,Year,II,95626.0,0.0,Year,54665
46133,146099.0,Year,IV,175000.0,0.0,Year,54666
46134,69368.0,Year,III,95000.0,0.0,Year,54667
46135,45240.0,Year,I,53076.0,61800.0,Year,54668
46136,114733.0,Year,III,120000.0,0.0,Year,54669
46137,80163.0,Year,II,86400.0,144720.0,Year,54670
46138,32.69,Hour,II,32.69,56.0,Hour,54671
46139,104374.0,Year,III,151700.0,0.0,Year,54672
46140,145454.0,Year,IV,145500.0,0.0,Year,54673
46141,94806.0,Year,III,130104.0,0.0,Year,54674
46142,128315.0,Year,IV,150000.0,0.0,Year,54675
46143,81806.0,Year,II,90000.0,0.0,Year,54676
46144,105040.0,Year,III,105040.0,111672.0,Year,54677
46145,100443.0,Year,II,131600.0,0.0,Year,54678
46146,140253.0,Year,No Record,145000.0,0.0,Year,54679
46147,124051.0,Year,II,125000.0,0.0,Year,54680
46148,101763.0,Year,No Record,101763.0,156888.0,Year,54681
46149,94037.0,Year,II,94037.0,94040.0,Year,54682
46150,78187.0,Year,II,78187.0,103500.0,Year,54683
46151,106642.0,Year,III,119634.0,0.0,Year,54684
46152,137342.0,Year,III,190422.78,0.0,Year,54685
46153,81640.0,Year,II,149000.0,0.0,Year,54686
46154,90563.0,Year,IV,125000.0,0.0,Year,54687
46155,105706.0,Year,III,112161.01,0.0,Year,54688
46156,124654.0,Year,IV,124654.0,155000.0,Year,54689
46157,130894.0,Year,II,156000.0,0.0,Year,54690
46158,120952.0,Year,IV,120952.0,211000.0,Year,54691
46159,29.91,Hour,II,37.0,47.0,Hour,54692
46160,151154.0,Year,IV,235000.0,0.0,Year,54693
46161,81494.0,Year,II,122500.0,0.0,Year,54694
46162,28621.0,Year,II,56500.0,0.0,Year,54695
46163,119350.0,Year,II,119350.0,0.0,Year,54696
46164,167710.0,Year,IV,205000.0,0.0,Year,54697
46165,77376.0,Year,III,115000.0,0.0,Year,54698
46166,70013.0,Year,II,107480.0,0.0,Year,54699
46167,137779.0,Year,IV,175000.0,220000.0,Year,54700
46168,109138.0,Year,III,124000.0,0.0,Year,54701
46169,73798.0,Year,II,80000.0,0.0,Year,54702
46170,184080.0,Year,IV,189353.29,0.0,Year,54703
46171,90397.0,Year,II,95000.0,0.0,Year,54704
46172,142334.0,Year,II,142334.0,237114.0,Year,54705
46173,119933.0,Year,III,155000.0,0.0,Year,54706
46174,101691.0,Year,II,102400.0,0.0,Year,54707
46175,116667.0,Year,III,116667.0,0.0,Year,54708
46176,100090.0,Year,IV,110208.0,0.0,Year,54709
46177,94037.0,Year,II,94500.0,0.0,Year,54710
46178,88442.0,Year,III,88442.0,125000.0,Year,54711
46179,55224.0,Year,I,63000.0,0.0,Year,54712
46180,95555.0,Year,III,125000.0,0.0,Year,54713
46181,76606.0,Year,II,89440.0,0.0,Year,54714
46182,144310.0,Year,IV,155000.0,175000.0,Year,54715
46183,89544.0,Year,II,89544.0,89550.0,Year,54716
46184,73840.0,Year,II,73840.0,75000.0,Year,54717
46185,196518.0,Year,IV,198000.0,0.0,Year,54718
46186,81494.0,Year,II,92685.0,0.0,Year,54719
46187,184080.0,Year,IV,184080.0,0.0,Year,54720
46188,99445.0,Year,III,99445.0,111078.0,Year,54721
46189,130894.0,Year,II,156000.0,0.0,Year,54722
46190,93850.0,Year,II,93850.0,112400.0,Year,54723
46191,91790.0,Year,II,105000.0,0.0,Year,54724
46192,99944.0,Year,II,190000.0,0.0,Year,54725
46193,77418.0,Year,II,77418.0,97418.0,Year,54726
46194,72259.0,Year,II,90640.0,0.0,Year,54727
46195,111717.0,Year,III,133016.0,0.0,Year,54728
46196,118373.0,Year,III,118373.0,0.0,Year,54729
46197,73757.0,Year,II,102300.0,0.0,Year,54730
46198,122616.0,Year,IV,140000.0,0.0,Year,54731
46199,121763.0,Year,II,180000.0,0.0,Year,54732
46200,127176.0,Year,No Record,131672.12,0.0,Year,54733
46201,116501.0,Year,IV,120000.0,0.0,Year,54734
46202,92685.0,Year,II,115450.0,0.0,Year,54735
46203,80163.0,Year,II,95000.0,0.0,Year,54736
46204,134779.0,Year,No Record,140060.0,0.0,Year,54737
46205,78562.0,Year,II,139361.0,0.0,Year,54738
46206,89669.0,Year,II,89669.0,189900.0,Year,54739
46207,59758.0,Year,III,60000.0,0.0,Year,54740
46208,136802.0,Year,IV,173250.0,193250.0,Year,54741
46209,89669.0,Year,II,92100.0,0.0,Year,54742
46210,119933.0,Year,III,159757.0,0.0,Year,54743
46211,130894.0,Year,II,130894.0,188000.0,Year,54744
46212,103771.0,Year,III,103771.0,189900.0,Year,54745
46213,69451.0,Year,II,69451.0,112400.0,Year,54746
46214,61339.0,Year,II,71687.0,0.0,Year,54747
46215,80163.0,Year,II,105000.0,0.0,Year,54748
46216,65292.0,Year,No Record,65292.0,0.0,Year,54749
46217,82950.0,Year,II,93600.0,0.0,Year,54750
46218,82680.0,Year,IV,150000.0,0.0,Year,54751
46219,145454.0,Year,IV,150000.0,190000.0,Year,54752
46220,97594.0,Year,III,123000.0,0.0,Year,54753
46221,89960.0,Year,II,108263.0,0.0,Year,54754
46222,80330.0,Year,II,85000.0,85010.0,Year,54755
46223,83242.0,Year,III,84245.0,0.0,Year,54756
46224,97406.0,Year,III,110000.0,0.0,Year,54757
46225,130894.0,Year,II,135000.0,0.0,Year,54758
46226,89835.0,Year,III,145000.0,0.0,Year,54759
46227,184080.0,Year,IV,210000.0,0.0,Year,54760
46228,95555.0,Year,III,101953.0,0.0,Year,54761
46229,98550.0,Year,II,145000.0,0.0,Year,54762
46230,110448.0,Year,IV,110448.0,130000.0,Year,54763
46231,78853.0,Year,II,120000.0,0.0,Year,54764
46232,102107.0,Year,II,105000.0,0.0,Year,54765
46233,65333.0,Year,II,95361.0,0.0,Year,54766
46234,140254.0,Year,IV,170919.0,0.0,Year,54767
46235,94806.0,Year,II,94806.0,0.0,Year,54768
46236,87672.0,Year,II,88000.0,0.0,Year,54769
46237,127504.0,Year,IV,159650.0,0.0,Year,54770
46238,79914.0,Year,I,80000.0,0.0,Year,54771
46239,130894.0,Year,II,130894.0,0.0,Year,54772
46240,162510.0,Year,IV,170000.0,0.0,Year,54773
46241,168834.0,Year,IV,168834.0,224250.0,Year,54774
46242,138133.0,Year,III,138133.0,174220.0,Year,54775
46243,131456.0,Year,II,200000.0,0.0,Year,54776
46244,98925.0,Year,III,98925.0,131750.0,Year,54777
46245,43.63,Hour,II,44.0,54.0,Hour,54778
46246,100110.0,Year,II,102000.0,110000.0,Year,54779
46247,119475.0,Year,IV,222065.0,0.0,Year,54780
46248,111176.0,Year,III,111176.0,189900.0,Year,54781
46249,94037.0,Year,II,94037.0,0.0,Year,54782
46250,31.82,Hour,II,32.0,0.0,Hour,54783
46251,92685.0,Year,II,92685.0,0.0,Year,54784
46252,89606.0,Year,I,115010.0,213590.0,Year,54785
46253,184080.0,Year,IV,184080.0,278000.0,Year,54786
46254,69368.0,Year,II,110000.0,130000.0,Year,54787
46255,130894.0,Year,II,130894.0,0.0,Year,54788
46256,114483.0,Year,III,120000.0,0.0,Year,54789
46257,65603.0,Year,II,65603.0,123822.0,Year,54790
46258,88254.0,Year,II,90397.0,90398.0,Year,54791
46259,134779.0,Year,No Record,134779.0,169810.0,Year,54792
46260,100256.0,Year,III,117015.0,0.0,Year,54793
46261,111280.0,Year,IV,111280.0,145000.0,Year,54794
46262,87485.0,Year,II,108000.0,0.0,Year,54795
46263,123469.0,Year,I,150000.0,0.0,Year,54796
46264,144726.0,Year,III,157477.0,0.0,Year,54797
46265,113734.0,Year,IV,190000.0,0.0,Year,54798
46266,122616.0,Year,IV,122616.0,139000.0,Year,54799
46267,155979.0,Year,III,170000.0,0.0,Year,54800
46268,83262.0,Year,II,115000.0,0.0,Year,54801
46269,74214.0,Year,II,130000.0,0.0,Year,54802
46270,98550.0,Year,II,102000.0,0.0,Year,54803
46271,69888.0,Year,II,70000.0,0.0,Year,54804
46272,165610.0,Year,II,173000.0,0.0,Year,54805
46273,147222.0,Year,III,147222.0,0.0,Year,54806
46274,147167.0,Year,No Record,147167.0,221000.0,Year,54807
46275,93600.0,Year,III,93600.0,192804.0,Year,54808
46276,85384.0,Year,IV,85384.0,140000.0,Year,54809
46277,196518.0,Year,IV,198000.0,0.0,Year,54810
46278,68266.0,Year,I,75000.0,0.0,Year,54811
46279,87485.0,Year,II,115000.0,0.0,Year,54812
46280,57720.0,Year,II,85000.0,0.0,Year,54813
46281,123614.0,Year,III,130000.0,150000.0,Year,54814
46282,109138.0,Year,III,115000.0,0.0,Year,54815
