Site_Id,WORKSITE_CITY,WORKSITE_COUNTY,WORKSITE_STATE,WORKSITE_POSTAL_CODE,Employee_Id
268,Omaha,DOUGLAS,NE,68114,10128
269,Los Angeles,LOS ANGELES,CA,90064,10129
270,Azusa ,LOS ANGELES,CA,91702,10130
271,Sunnyvale,SANTA CLARA,CA,94085,10131
272,Jersey City,HUDSON,NJ,7310,10132
273,Secaucus,HUDSON,NJ,7094,10133
274,Mount Holly,GASTON,NC,28120,10134
275,Memphis,SHELBY,TN,38118,10135
276,EAST WINDSOR,MERCER,NJ,8520,10136
277,Santa Clara,SANTA CLARA,CA,95054,10137
278,Dearborn,WAYNE,MI,48120,10138
279,Purchase,WESTCHESTER,NY,10577,10139
280,Ithaca ,TOMPKINS,NY,14850,10140
281,Plano,COLLIN,TX,75024,10141
282,Walnut Creek,CONTRA COSTA,CA,94597,10142
283,Flushing ,NEW YORK,NY,11354,10143
284,San Francisco,SAN FRANCISCO,CA,94129,10144
285,Seattle,KING,WA,98108,10145
286,SAN ANTONIO,BEXAR,TX,78251,10146
287,Tampa,HILLSBOROUGH,FL,33607,10147
288,Alpharetta,FULTON,GA,30005,10148
289,Overland Park,JOHNSON,KS,66211,10149
290,Menlo Park,SAN MATEO,CA,94025,10150
291,Harrisburg,DAUPHIN,PA,17102,10151
292,Piscataway,MIDDLESEX,NJ,8854,10152
293,Torrance,LOS ANGELES,CA,90503,10153
294,Flushing ,NEW YORK,NY,11354,10154
295,MURRAY,SALT LAKE,UT,84121,10155
296,San Diego,SAN DIEGO,CA,92121,10156
297,West Chester,CHESTER,PA,19380,10157
298,EAST WINDSOR,MERCER,NJ,8520,10158
299,Herndon,FAIRFAX,VA,20171,10159
300,Piscataway,MIDDLESEX,NJ,8854,10160
301,Des Moines,POLK,IA,50309,10161
302,San Jose,SANTA CLARA,CA,95131,10162
303,Hillsboro,WASHINGTON,OR,97124,10163
304,Des Moines,POLK,IA,50391,10164
305,Wheeling,COOK,IL,60090,10165
306,ANAHEIM,ORANGE,CA,92801,10166
307,Collierville,SHELBY,TN,38017,10167
308,Portland,WASHINGTON,OR,97225,10168
