Agent_Id,AGENT_REPRESENTING_EMPLOYER,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,Employee_Id
46350,Yes,"Winarsky, Karen",Atlanta,GA,54201
46351,Yes,"Pack, James",Irvine,CA,54202
46352,Yes,"Malakooti, Nobesh",Toronto,No Record,54203
46353,N,No Agent,NA,NA,54204
46354,Yes,"Davis, Andrea",Atlanta,GA,54205
46355,Yes,"Malakooti, Nobesh",Toronto,No Record,54206
46356,Yes,"Wu, Mengying",Richardson,TX,54207
46357,N,No Agent,NA,NA,54208
46358,Yes,"Kuo, Michael",San Jose,CA,54209
46359,N,No Agent,NA,NA,54210
46360,Yes,"Taylor, Zachary",Richardson,TX,54211
46361,N,No Agent,NA,NA,54212
46362,N,No Agent,NA,NA,54213
46363,Yes,"DeCruz, Jeffrey",Arlington,VA,54214
46364,Yes,"Morell, Avram",New York,NY,54215
46365,Yes,"Castrodale, Alexander",Pittsburgh,PA,54216
46366,Yes,"Nakamura, Anne",San Francisco,CA,54217
46367,Yes,"Sherman, Kyle",Atlanta,GA,54218
46368,N,No Agent,NA,NA,54219
46369,N,No Agent,NA,NA,54220
46370,Yes,"Peterson-Ross, CHERI",CHICAGO,IL,54221
46371,Yes,"Eiss, James",Buffalo,NY,54222
46372,Yes,"GANDHI, JESSICA",RICHARDSON,TX,54223
46373,Yes,"John, Kimberly",Arlington,VA,54224
46374,N,No Agent,NA,NA,54225
46375,Yes,"Alic, Emina",Troy,MI,54226
46376,N,No Agent,NA,NA,54227
46377,N,No Agent,NA,NA,54228
46378,Yes,"Rhoads, Mark",Richmond,VA,54229
46379,Yes,"Nakamura, Anne",San Francisco,CA,54230
46380,Yes,"WHITE , ROBERT",SCHAUMBURG,IL,54231
46381,Yes,"Adams, David",Matawan,NJ,54232
46382,Yes,"KRIVTSUN , ANYA",WASHINGTON,DC,54233
46383,N,No Agent,NA,NA,54234
46384,Yes,"Jahn, Hannah",Phoenix,AZ,54235
46385,Yes,"Taylor, Zachary",Richardson,TX,54236
46386,Yes,"Nadig, Anjali",Sydney ,No Record,54237
